wd_id,line_id,line_wd,textlineid,ref,dipl,word,wd_div,lang,pos,pos_syn,morph,lemma,lemma_src,lemma_dmf,phil_note,tei_right,tei_left
,,,,,que,que,_,fro,,,,que,,,,,
,,,,,nen,nen,+,fro,,,,ne,,,,,
,,,,,chidet,chidet,.,fro,,,,choir,,,,,
,,,,,[et],et,_,fro,,,,et,,,,,
,,,,,puis,puis,|,fro,,,,puis,,,,,
,,,,,prendre,prendre,_,fro,,,,prendre,,,,,
,,,,,leuer,lever,_,,,,,,,,,,
,,,,,par,par,_,fro,,,,par,,,,,
,,,,,la,la,_,fro,,,,le,,,,,
,,,,,rotele,rotele,_,fro,,,,rouelle,,,,,
,,,,,ad,,_,fro,,,,,,,,,
,,,,,uos,,_,,,,,,,,,,
,,,,,deenz,,.,,,,,,,,,,
,,,,,[et],et,_,fro,,,,et,,,,,
,,,,,ius,jus,_,fro,,,,jus,,,,,
,,,,,prendre,prendre,.,fro,,,,prendre,,,,</s></p>,
,,,,,D[omi]ne,domine,_,lat,,,,---,,,,,<p><s xml:lang=&quot;lat&quot;>
,,,,,ih[es]u,jhesu,_,lat,,,,---,,,,,
,,,,,[christ]e,christe,_,lat,,,,---,,,,,
,,,,,fili,fili,_,lat,,,,---,,,,,
,,,,,d[e]i,dei,|,lat,,,,---,,,,,
,,,,,uiui,vivi,.,lat,,,,---,,,,,
,,,,,q[u]ia,quia,_,lat,,,,---,,,,,
,,,,,tu,tu,_,lat,,,,---,,,,,
,,,,,mundas,mundas,_,lat,,,,---,,,,,
,,,,,man[us],manus,_,lat,,,,---,,,,,
,,,,,posuisti,posuisti,_,lat,,,,---,,,,,
,,,,,in,in,_,lat,,,,---,,,,,
,,,,,cruce,cruce,.,lat,,,,---,,,,,
,,,,,[et],et,_,lat,,,,---,,,,,
,,,,,nos,nos,_,lat,,,,---,,,,,
,,,,,om[ine]s,omines,_,lat,,,,---,,,,,
,,,,,tua,tua,_,lat,,,,---,,,,,
,,,,,p[re]tioso,pretioso,_,lat,,,,---,,,,,
,,,,,sanguine,sanguine,_,lat,,,,---,,,,,
,,,,,redemisti,redemisti,.|,lat,,,,---,,,,,
,,,,,appareat,appareat,_,lat,,,,---,,,,,
,,,,,ueritas,veritas,_,lat,,,,---,,,,,
,,,,,tua,tua,_,lat,,,,---,,,,,
,,,,,sup[er],super,_,lat,,,,---,,,,,
,,,,,libru[m],librum,_,lat,,,,---,,,,,
,,,,,istu[m],istum,_,lat,,,,---,,,,,
,,,,,q[u]i,qui,_,lat,,,,---,,,,,
,,,,,in,in,_,lat,,,,---,,,,,
,,,,,dextera[m],dexteram,_,lat,,,,---,,,,,
,,,,,formasti,formasti,_,lat,,,,---,,,,,
,,,,,[et],et,_,lat,,,,---,,,,,
,,,,,benedixisti,benedixisti,_,lat,,,,---,,,,,
,,,,,in,in,_,lat,,,,---,,,,,
,,,,,sub-|stantia,substantia,_,lat,,,,---,,,,,
,,,,,hominu[m],hominum,_,lat,,,,---,,,,,
,,,,,[et],et,_,lat,,,,---,,,,,
,,,,,ad,ad,_,lat,,,,---,,,,,
,,,,,continenda[m],continendam,_,lat,,,,---,,,,</s>,
,,,,,si,si,+,lat,,,,---,,,,,<s xml:lang=&quot;lat&quot;>
,,,,,uerita,verita,_,lat,,,,---,,,,,
,,,,,e[st],est,_,lat,,,,---,,,,,
,,,,,q[u]i,qui,_,lat,,,,---,,,,,
,,,,,culpabilis,culpabilis,_,lat,,,,---,,,,,
,,,,,sit,sit,_,lat,,,,---,,,,,
,,,,,ille,ille,_,lat,,,,---,,,,,
,,,,,homo,homo,_,lat,,,,---,,,,,
,,,,,aliq[u]id,aliquid,_,lat,,,,---,,,,,
,,,,,qui,qui,|,lat,,,,---,,,,,
,,,,,t'e[=tenet],tenet,_,lat,,,,---,,,CHECK,,
,,,,,nom[en],nomen,.,lat,,,,---,,,CHECK,,
,,,,,ill,ill,.,lat,,,,---,,,,,
,,,,,si,si,_,lat,,,,---,,,,,
,,,,,ille,ille,_,lat,,,,---,,,,,
,,,,,furtu[m],furtum,_,lat,,,,---,,,,,
,,,,,fecerit,fecerit,_,lat,,,,---,,,,,
,,,,,aut,aut,_,lat,,,,---,,,,,
,,,,,consenserit,consenserit,_,lat,,,,---,,,,,
,,,,,tornet,tornet,_,lat,,,,---,,,,,
,,,,,libru[m],librum,_,lat,,,,---,,,,,
,,,,,istu[m],istum,.,lat,,,,---,,,,</s>,
,,,,,[et],et,_,lat,,,,---,,,,,<s xml:lang=&quot;lat&quot;>
,,,,,si,si,|,lat,,,,---,,,,,
,,,,,ille,ille,_,lat,,,,---,,,,,
,,,,,furtu[m],furtum,_,lat,,,,---,,,,,
,,,,,n[on],non,_,lat,,,,---,,,,,
,,,,,fecerit,fecerit,_,lat,,,,---,,,,,
,,,,,nec,nec,_,lat,,,,---,,,,,
,,,,,consenserit,consenserit,_,lat,,,,---,,,,,
,,,,,n[on],non,_,lat,,,,---,,,,,
,,,,,tornet,tornet,.,lat,,,,---,,,,</s></p>,
